4381
itemid	name	level	unk	price	pricec	sell	unk	unk	durtype	duration	hp	attmin	attmax	att(trans)min	att(trans)max	TransGauge	Crit	evade	spectrans	speed	transbotdef	transbotatt	transspeed	ranged	luck	unk	effect	image	description

1110100	Hammer-Head	1	1	60	0	5	16777473	257	0	0	133	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	Hammer-Head is an upgrade for Patch. The plating on this head part provides extra protection.
1110101	Hammer-HeadCRT(+1)	1	1	64	0	6	16777473	257	0	0	133	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	Hammer-Head is an upgrade for Patch. The plating on this head part provides extra protection.
1110102	Hammer-HeadCRT(+2)	1	1	66	0	8	16777473	257	0	0	133	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	Hammer-Head is an upgrade for Patch. The plating on this head part provides extra protection.
1110103	Hammer-HeadCRT(+3)	1	1	88	0	10	16777473	257	0	0	133	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	Hammer-Head is an upgrade for Patch. The plating on this head part provides extra protection.
1110104	Hammer-HeadCRT(XMOG)	100	1	88	0	10	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	0	Hammer-Head is an upgrade for Patch. The plating on this head part provides extra protection.
1110130	Hammer-HeadCRT(E1)	1	1	0	0	10	16777473	257	0	0	133	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	3	Hammer-Head is an upgrade for Patch. The plating on this head part provides extra protection.
1110131	Hammer-HeadCRT(XE1)	100	1	0	0	10	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	3	Hammer-Head is an upgrade for Patch. The plating on this head part provides extra protection.
1110140	Hammer-HeadCRT(E2)	1	1	0	0	10	16777473	257	0	0	133	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	4	Hammer-Head is an upgrade for Patch. The plating on this head part provides extra protection.
1110141	Hammer-HeadCRT(XE2)	100	1	0	0	10	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	4	Hammer-Head is an upgrade for Patch. The plating on this head part provides extra protection.
1110150	Hammer-HeadCRT(E3)	1	1	0	0	10	16777473	257	0	0	133	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	5	Hammer-Head is an upgrade for Patch. The plating on this head part provides extra protection.
1110151	Hammer-HeadCRT(XE3)	100	1	0	0	10	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	5	Hammer-Head is an upgrade for Patch. The plating on this head part provides extra protection.
1110200	C.A.T.	1	1	125	0	13	16777473	257	0	0	265	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	6	Originally used for data mining, the C.A.T. is a sturdy upgrade for Patch.
1110201	C.A.T.CRT(+1)	1	1	110	0	14	16777473	257	0	0	265	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	6	Originally used for data mining, the C.A.T. is a sturdy upgrade for Patch.
1110202	C.A.T.CRT(+2)	1	1	150	0	19	16777473	257	0	0	265	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	6	Originally used for data mining, the C.A.T. is a sturdy upgrade for Patch.
1110203	C.A.T.CRT(+3)	1	1	200	0	25	16777473	257	0	0	265	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	6	Originally used for data mining, the C.A.T. is a sturdy upgrade for Patch.
1110204	C.A.T.CRT(XMOG)	100	1	200	0	25	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	6	Originally used for data mining, the C.A.T. is a sturdy upgrade for Patch.
1110230	C.A.T.CRT(E1)	1	1	0	0	25	16777473	257	0	0	265	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	9	Originally used for data mining, the C.A.T. is a sturdy upgrade for Patch.
1110231	C.A.T.CRT(XE1)	100	1	0	0	25	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	9	Originally used for data mining, the C.A.T. is a sturdy upgrade for Patch.
1110240	C.A.T.CRT(E2)	1	1	0	0	25	16777473	257	0	0	265	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	10	Originally used for data mining, the C.A.T. is a sturdy upgrade for Patch.
1110241	C.A.T.CRT(XE2)	100	1	0	0	25	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	10	Originally used for data mining, the C.A.T. is a sturdy upgrade for Patch.
1110250	C.A.T.CRT(E3)	1	1	0	0	25	16777473	257	0	0	265	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	11	Originally used for data mining, the C.A.T. is a sturdy upgrade for Patch.
1110251	C.A.T.CRT(XE3)	100	1	0	0	25	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	11	Originally used for data mining, the C.A.T. is a sturdy upgrade for Patch.
1110300	Hazard-Hex	5	1	220	0	25	16777473	257	0	0	397	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	12	A heavy mining upgrade for Patch. The retrofitted head piece allows for a unique piston attack.
1110301	Hazard-HexCRT(+1)	7	1	220	0	28	16777473	257	0	0	397	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	12	A heavy mining upgrade for Patch. The retrofitted head piece allows for a unique piston attack.
1110302	Hazard-HexCRT(+2)	8	1	300	0	38	16777473	257	0	0	397	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	12	A heavy mining upgrade for Patch. The retrofitted head piece allows for a unique piston attack.
1110303	Hazard-HexCRT(+3)	10	1	400	0	50	16777473	257	0	0	397	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	12	A heavy mining upgrade for Patch. The retrofitted head piece allows for a unique piston attack.
1110304	Hazard-HexCRT(XMOG)	100	1	400	0	50	16777473	257	0	0	1660	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	2	12	A heavy mining upgrade for Patch. The retrofitted head piece allows for a unique piston attack.
