2121
itemid	name	level	unk	price	pricec	sell	unk	unk	durtype	duration	hp	attmin	attmax	att(trans)min	att(trans)max	TransGauge	Crit	evade	spectrans	speed	transbotdef	transbotatt	transspeed	ranged	luck	unk	description
1110100	Hammerer	16777216	115201	0	11520	65792	65793	46727168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1120100	Hammerer	50331648	199681	0	19968	65792	65793	0	0	0	17956864	28770304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1130100	Hammerer	83886080	153601	0	15360	65792	65793	0	8519680	13631488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1110101	HammererCRT(+1)	16777216	133121	0	13312	256	65793	49152000	0	0	0	0	0	327680	0	0	0	0	0	0	0	0	0	0	0	0	
1120101	HammererTA(+1)	50331648	230401	0	23040	256	65793	0	0	0	18939904	30277632	0	0	0	0	0	0	1245184	0	0	0	0	0	0	0	
1130101	HammererTD(+1)	83886080	176641	0	17664	256	65793	0	8978432	14352384	0	0	0	0	0	0	0	1376256	0	0	0	0	0	0	0	0	
1110102	HammererCRT(+2)	16777216	153601	0	15360	256	65793	51642368	0	0	0	0	0	1638400	0	0	0	0	0	0	0	0	0	0	0	0	
1120102	HammererTA(+2)	50331648	266241	0	26624	256	65793	0	0	0	19857408	31784960	0	0	0	0	0	0	3604480	0	0	0	0	0	0	0	
1130102	HammererTD(+2)	83886080	204801	0	20480	256	65793	0	9437184	15073280	0	0	0	0	0	0	0	2949120	0	0	0	0	0	0	0	0	
1110103	HammererCRT(+3)	33554432	176641	0	17664	256	65793	58982400	0	0	0	0	0	4915200	0	0	0	0	0	0	0	0	0	0	0	0	
1120103	HammererTA(+3)	67108864	307201	0	30720	256	65793	0	0	0	21168128	33947648	0	0	0	0	0	0	9502720	0	0	0	0	0	0	0	
1130103	HammererTD(+3)	100663296	235521	0	23552	256	65793	0	10027008	16056320	0	0	0	0	0	0	0	6881280	0	0	0	0	0	0	0	0	
1110104	HammererCRT(+4)	33554432	204801	0	20480	256	65793	59965440	0	0	0	0	0	5636096	0	0	0	0	0	0	0	0	0	0	0	196608	
1120104	HammererTA(+4)	67108864	353281	0	35328	256	65793	0	0	0	23068672	36962304	0	0	0	0	0	0	10485760	0	0	0	0	0	0	196608	
1130104	HammererTD(+4)	100663296	271361	0	27136	256	65793	0	10944512	17498112	0	0	0	0	0	0	0	7929856	0	0	0	0	0	0	0	196608	
1110105	HammererCRT(+5)	50331648	235521	0	23552	256	65793	63897600	0	0	0	0	0	6225920	0	0	0	0	0	0	0	0	0	0	0	131072	
1120105	HammererTA(+5)	83886080	407041	0	40704	256	65793	0	0	0	24576000	39387136	0	0	0	0	0	0	11468800	0	0	0	0	0	0	131072	
1130105	HammererTD(+5)	117440512	312321	0	31232	256	65793	0	11665408	18677760	0	0	0	0	0	0	0	8716288	0	0	0	0	0	0	0	131072	
1110200	Spikey	134217728	965121	0	96512	65792	65793	60882944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1120200	Spikey	167772160	1671681	0	167168	65792	65793	0	0	0	19070976	30474240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1130200	Spikey	201326592	1287681	0	128768	65792	65793	0	9043968	14417920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1110201	SpikeyCRT(+1)	100663296	1126401	0	112640	256	65793	64094208	0	0	0	0	0	1966080	0	0	0	0	0	0	0	0	0	0	0	0	
1120201	SpikeyTA(+1)	134217728	1945601	0	194560	256	65793	0	0	0	20054016	32047104	0	0	0	0	0	0	4194304	0	0	0	0	0	0	0	
1130201	SpikeyTD(+1)	167772160	1484801	0	148480	256	65793	0	9502720	15204352	0	0	0	0	0	0	0	3342336	0	0	0	0	0	0	0	0	
1110202	SpikeyCRT(+2)	117440512	1305601	0	130560	256	65793	67239936	0	0	0	0	0	3276800	0	0	0	0	0	0	0	0	0	0	0	0	
1120202	SpikeyTA(+2)	150994944	2252801	0	225280	256	65793	0	0	0	21037056	33685504	0	0	0	0	0	0	6553600	0	0	0	0	0	0	0	
1130202	SpikeyTD(+2)	184549376	1715201	0	171520	256	65793	0	9961472	15925248	0	0	0	0	0	0	0	4915200	0	0	0	0	0	0	0	0	
1110203	SpikeyCRT(+3)	134217728	1510401	0	151040	256	65793	76873728	0	0	0	0	0	6553600	0	0	0	0	0	0	0	0	0	0	0	0	
1120203	SpikeyTA(+3)	167772160	2611201	0	261120	256	65793	0	0	0	22478848	35913728	0	0	0	0	0	0	12451840	0	0	0	0	0	0	0	
1130203	SpikeyTD(+3)	201326592	1996801	0	199680	256	65793	0	10616832	17039360	0	0	0	0	0	0	0	8847360	0	0	0	0	0	0	0	0	
1110204	SpikeyCRT(+4)	150994944	1740801	0	174080	256	65793	78184448	0	0	0	0	0	7536640	0	0	0	0	0	0	0	0	0	0	0	196608	
1120204	SpikeyTA(+4)	184549376	3020801	0	302080	256	65793	0	0	0	24444928	39124992	0	0	0	0	0	0	13697024	0	0	0	0	0	0	196608	
1130204	SpikeyTD(+4)	218103808	2304001	0	230400	256	65793	0	11599872	18546688	0	0	0	0	0	0	0	10158080	0	0	0	0	0	0	0	196608	
1110205	SpikeyCRT(+5)	167772160	2022401	0	202240	256	65793	83296256	0	0	0	0	0	8323072	0	0	0	0	0	0	0	0	0	0	0	131072	
1120205	SpikeyTA(+5)	201326592	3481601	0	348160	256	65793	0	0	0	26083328	41680896	0	0	0	0	0	0	15073280	0	0	0	0	0	0	131072	
1130205	SpikeyTD(+5)	234881024	2662401	0	266240	256	65793	0	12320768	19726336	0	0	0	0	0	0	0	11206656	0	0	0	0	0	0	0	131072	
1110300	Stonehazard	301989888	2841601	0	284160	65792	65793	78118912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1120300	Stonehazard	335544320	4915201	0	491520	65792	65793	0	0	0	20447232	32768000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1130300	Stonehazard	369098752	3788801	0	378880	65792	65793	0	9699328	15532032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1110301	StonehazardCRT(+1)	268435456	3276801	0	327680	256	65793	82247680	0	0	0	0	0	3604480	0	0	0	0	0	0	0	0	0	0	0	0	
1120301	StonehazardTA(+1)	301989888	5657601	0	565760	256	65793	0	0	0	21561344	34471936	0	0	0	0	0	0	7143424	0	0	0	0	0	0	0	
1130301	StonehazardTD(+1)	335544320	4377601	0	437760	256	65793	0	10223616	16318464	0	0	0	0	0	0	0	5308416	0	0	0	0	0	0	0	0	
1110302	StonehazardCRT(+2)	285212672	3788801	0	378880	256	65793	86376448	0	0	0	0	0	4915200	0	0	0	0	0	0	0	0	0	0	0	0	
1120302	StonehazardTA(+2)	318767104	6528001	0	652800	256	65793	0	0	0	22609920	36175872	0	0	0	0	0	0	9502720	0	0	0	0	0	0	0	
1130302	StonehazardTD(+2)	352321536	5043201	0	504320	256	65793	0	10682368	17170432	0	0	0	0	0	0	0	6881280	0	0	0	0	0	0	0	0	
1110303	StonehazardCRT(+3)	301989888	4377601	0	437760	256	65793	98697216	0	0	0	0	0	8192000	0	0	0	0	0	0	0	0	0	0	0	0	
1120303	StonehazardTA(+3)	335544320	7526401	0	752640	256	65793	0	0	0	24117248	38600704	0	0	0	0	0	0	15400960	0	0	0	0	0	0	0	
1130303	StonehazardTD(+3)	369098752	5811201	0	581120	256	65793	0	11403264	18284544	0	0	0	0	0	0	0	10813440	0	0	0	0	0	0	0	0	
1110304	StonehazardCRT(+4)	318767104	5043201	0	504320	256	65793	100335616	0	0	0	0	0	9437184	0	0	0	0	0	0	0	0	0	0	0	196608	
1120304	StonehazardTA(+4)	352321536	8678401	0	867840	256	65793	0	0	0	26279936	42074112	0	0	0	0	0	0	16973824	0	0	0	0	0	0	196608	
1130304	StonehazardTD(+4)	385875968	6707201	0	670720	256	65793	0	12451840	19922944	0	0	0	0	0	0	0	12451840	0	0	0	0	0	0	0	196608	
1110305	StonehazardCRT(+5)	335544320	5811201	0	581120	256	65793	106954752	0	0	0	0	0	10354688	0	0	0	0	0	0	0	0	0	0	0	131072	
1120305	StonehazardTA(+5)	369098752	9984001	0	998400	256	65793	0	0	0	27983872	44826624	0	0	0	0	0	0	18612224	0	0	0	0	0	0	131072	
1130305	StonehazardTD(+5)	402653184	7731201	0	773120	256	65793	0	13238272	21233664	0	0	0	0	0	0	0	13697024	0	0	0	0	0	0	0	131072	
