341
tab	subtab	mainitem	showoption1	showoption2	showoption3	itemname	option1	option2	option3	option4	option5	option6	option7	option8	option9	sale/new
1	1	7414800	7414801	7417504	7414807	Ripper	7414801	7414802	7414803	7414804	7414805	7414806	7414807	7414808	7414809	1
1	1	7414100	7414101	7414104	7414107	Goldie	7414101	7414102	7414103	7414104	7414105	7414106	7414107	7414108	7414109	1
1	1	7417500	7417501	7417504	7417507	Liger Head	7417501	7417502	7417503	7417504	7417505	7417506	7417507	7417508	7417509	1
1	1	4010001	4010001	0	0	Counterattack	4010001	0	0	0	0	0	0	0	0	1
1	1	4010009	4010009	0	0	Critical-Punch	4010009	0	0	0	0	0	0	0	0	1
1	1	4052000	4052001	4052004	4052007	SPT-Cop	4052001	4052004	4052007	0	0	0	0	0	0	1
1	1	4040900	4040903	4040901	4040902	LanternMan	4040903	4040901	4040902	0	0	0	0	0	0	1
1	1	4030100	4030101	4030102	4030103	RevivalPack	4030101	4030102	4030103	0	0	0	0	0	0	2
1	1	4030200	4030201	4030202	4030203	HP-Pack	4030201	4030202	4030203	0	0	0	0	0	0	2
1	1	7416200	7416201	7416204	7416207	Redranger	7416201	7416202	7416203	7416204	7416205	7416206	7416207	7416208	7416209	1
1	1	8014900	8014901	8014904	8014907	RangerJr.	8014901	8014902	8014903	8014904	8014905	8014906	8014907	8014908	8014909	1
1	1	3044500	3044501	3044504	3044507	Red-R-Wing	3044501	3044502	3044503	3044504	3044505	3044506	3044507	3044508	3044509	1
1	1	3022300	3022301	3022304	0	SmileGun	3022301	3022304	0	0	0	0	0	0	0	1
1	1	4051400	4051401	4051404	4051407	Greataexu	4051401	4051404	4051407	0	0	0	0	0	0	1
1	1	5041200	5041200	0	0	PartsUnion	5041200	0	0	0	0	0	0	0	0	1
1	1	1110700	1110700	0	0	fireroad	1110700	0	0	0	0	0	0	0	0	1
1	1	1120700	1120700	0	0	fireroad	1120700	0	0	0	0	0	0	0	0	1
1	1	1130700	1130700	0	0	fireroad	1130700	0	0	0	0	0	0	0	0	1
1	1	1210700	1210700	0	0	Swordcaster	1210700	0	0	0	0	0	0	0	0	1
1	1	1220700	1220700	0	0	Swordcaster	1220700	0	0	0	0	0	0	0	0	1
1	1	1230700	1230700	0	0	Swordcaster	1230700	0	0	0	0	0	0	0	0	1
1	1	1310700	1310700	0	0	Minusbolt	1310700	0	0	0	0	0	0	0	0	1
1	1	1320700	1320700	0	0	Minusbolt	1320700	0	0	0	0	0	0	0	0	1
1	1	1330700	1330700	0	0	Minusbolt	1330700	0	0	0	0	0	0	0	0	1
1	1	3011700	3011700	0	0	Littleroid	3011700	0	0	0	0	0	0	0	0	1
1	1	3031700	3031700	0	0	Crimsonfield	3031700	0	0	0	0	0	0	0	0	1
1	1	3021700	3021700	0	0	AuraBlazer	3021700	0	0	0	0	0	0	0	0	1
1	1	3050500	3050500	0	0	Scutum	3050500	0	0	0	0	0	0	0	0	1
1	1	3060600	3060600	0	0	ShldrBlade	3060600	0	0	0	0	0	0	0	0	1
1	1	4045900	4045900	0	0	TPO-70	4045900	0	0	0	0	0	0	0	0	1
1	1	4046000	4046000	0	0	TPZ-70	4046000	0	0	0	0	0	0	0	0	1
1	2	7414800	7414801	7417504	7414807	Ripper	7414801	7414802	7414803	7414804	7414805	7414806	7414807	7414808	7414809	1
1	2	7414100	7414101	7414104	7414107	Goldie	7414101	7414102	7414103	7414104	7414105	7414106	7414107	7414108	7414109	1
1	2	7417500	7417501	7417504	7417507	Liger Head	7417501	7417502	7417503	7417504	7417505	7417506	7417507	7417508	7417509	1
1	2	7416200	7416201	7416204	7416207	Redranger	7416201	7416202	7416203	7416204	7416205	7416206	7416207	7416208	7416209	1
